
---------- Begin Simulation Statistics ----------
simSeconds                                   0.279972                       # Number of seconds simulated (Second)
simTicks                                 279971790000                       # Number of ticks simulated (Tick)
finalTick                                279971790000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                  38057.43                       # Real time elapsed on the host (Second)
hostTickRate                                  7356561                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                   10449760                       # Number of bytes of host memory used (Byte)
simInsts                                   3195112368                       # Number of instructions simulated (Count)
simOps                                     6091087680                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    83955                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     160050                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       559126202                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      385401329                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    2068                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     392393672                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 24163                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             4710417                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          5516167                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                337                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          554981938                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              0.707039                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.579813                       # Number of insts issued each cycle (Count)
system.cpu4.mmu.dtb.wrAccesses               31870398                       # TLB accesses on write requests (Count)
system.cpu4.mmu.dtb.rdMisses                    78078                       # TLB misses on read requests (Count)
system.cpu4.mmu.dtb.wrMisses                   830923                       # TLB misses on write requests (Count)
system.cpu4.mmu.dtb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.mmu.itb.rdAccesses                      0                       # TLB accesses on read requests (Count)
system.cpu4.mmu.itb.wrAccesses               32007022                       # TLB accesses on write requests (Count)
system.cpu4.mmu.itb.rdMisses                        0                       # TLB misses on read requests (Count)
system.cpu4.mmu.itb.wrMisses                     5312                       # TLB misses on write requests (Count)
system.cpu4.mmu.itb.walker.power_state.pwrStateResidencyTicks::UNDEFINED 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.power_state.pwrStateResidencyTicks::ON 279971790000                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu4.rename.squashCycles                 59073                       # Number of cycles rename is squashing (Cycle)
system.cpu4.rename.idleCycles                19284015                       # Number of cycles rename is idle (Cycle)
system.cpu4.rename.blockCycles              253579508                       # Number of cycles rename is blocking (Cycle)
system.cpu4.rename.serializeStallCycles         81167                       # count of cycles rename stalled for serializing inst (Cycle)
system.cpu4.rename.runCycles                 44322561                       # Number of cycles rename is running (Cycle)
system.cpu4.rename.unblockCycles            240487016                       # Number of cycles rename is unblocking (Cycle)
system.cpu4.rename.renamedInsts             385660778                       # Number of instructions processed by rename (Count)
system.cpu4.rename.ROBFullEvents              8479108                       # Number of times rename has blocked due to ROB full (Count)
system.cpu4.rename.IQFullEvents              16506562                       # Number of times rename has blocked due to IQ full (Count)
system.cpu4.rename.LQFullEvents              14194217                       # Number of times rename has blocked due to LQ full (Count)
system.cpu4.rename.SQFullEvents             201912543                       # Number of times rename has blocked due to SQ full (Count)
system.cpu4.rename.fullRegistersEvents             39                       # Number of times there has been no free registers (Count)
system.cpu4.rename.renamedOperands          402341367                       # Number of destination operands rename has renamed (Count)
system.cpu4.rename.lookups                  954012307                       # Number of register rename lookups that rename has made (Count)
system.cpu4.rename.intLookups               603207398                       # Number of integer rename lookups (Count)
system.cpu4.rename.fpLookups                  4747472                       # Number of floating rename lookups (Count)
system.cpu4.rename.committedMaps            397387861                       # Number of HB maps that are committed (Count)
system.cpu4.rename.undoneMaps                 4953506                       # Number of HB maps that are undone due to squashing (Count)
system.cpu4.rename.serializing                   1160                       # count of serializing insts renamed (Count)
system.cpu4.rename.tempSerializing               1105                       # count of temporary serializing insts renamed (Count)
system.cpu4.rename.skidInsts                 97300313                       # count of insts added to the skid buffer (Count)
system.cpu4.rob.reads                       905033846                       # The number of ROB reads (Count)
system.cpu4.rob.writes                      771441759                       # The number of ROB writes (Count)
system.cpu4.thread_0.numInsts               199694523                       # Number of Instructions committed (Count)
system.cpu4.thread_0.numOps                 380692980                       # Number of Ops committed (Count)
system.cpu4.thread_0.numMemRefs                     0                       # Number of Memory References (Count)
system.cpu4.workload.numSyscalls                  578                       # Number of system calls (Count)
system.cpu5.numCycles                       558430646                       # Number of cpu cycles simulated (Cycle)
system.cpu5.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu5.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu5.instsAdded                      385414772                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu5.nonSpecInstsAdded                    2089                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu5.instsIssued                     392390899                       # Number of instructions issued (Count)
system.cpu5.squashedInstsIssued                 24709                       # Number of squashed instructions issued (Count)
system.cpu5.squashedInstsExamined             4723881                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu5.squashedOperandsExamined          5540754                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu5.squashedNonSpecRemoved                358                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu5.numIssuedDist::samples          554440974                       # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::mean              0.707723                       # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::stdev             1.585857                       # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::0                424397594     76.55%     76.55% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::1                 37908428      6.84%     83.38% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::2                 25274487      4.56%     87.94% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::3                 23303968      4.20%     92.14% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::4                 14105661      2.54%     94.69% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::5                 10145166      1.83%     96.52% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::6                 11024852      1.99%     98.51% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::7                  5522537      1.00%     99.50% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::8                  2758281      0.50%    100.00% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu5.numIssuedDist::total            554440974                       # Number of insts issued each cycle (Count)
system.cpu5.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::IntAlu                4654933     72.63%     72.63% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::IntMult                     0      0.00%     72.63% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::IntDiv                      0      0.00%     72.63% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatAdd                85471      1.33%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatCmp                    0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatCvt                    0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatMult                   0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatMultAcc                0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatDiv                    0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatMisc                   0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::FloatSqrt                   0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::SimdAdd                     6      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::SimdAddAcc                  0      0.00%     73.97% # attempts to use FU when none available (Count)
system.cpu5.statFuBusy::SimdAlu                   166      0.00%     73.97% # attempts to use FU when none available (Count)
